customer_ID,first_name,last_name,email
7938024839,Anna,Smith,asmith@gmail.com
0522737902,Mason,Johnson,mjohnson@gmail.com
3997039865,Jacob,Williams,jwilliams@gmail.com
7627039991,James,Jones,jjones@gmail.com
7236558147,Sophia,Brown,sbrown@gmail.com
1384804603,Clair,Tyler,ctyler@gmail.com
2694137883,Emma,Anderson,eanderson@gmail.com
8153543659,Lucas,Martin,lmartin@gmail.com
5491755418,Luke,Garcia,lgarcia@gmail.com
8352266784,Lily,Clark,lclark@gmail.com
3245689531,Pratchett,Pratchett,winksell.1@gmail.com
